archive_candidate_id	archive_relative_path	member_name	member_type	uncompressed_bytes	compressed_bytes	crc32_hex	encrypted	safe_path	crc_verified	error_type	status
2b0d9e94025decf0	soyod/Wan_Dou_28/gff/Wan_Dou_28.annotation.zip	Wan_Dou_28.annotation.gff	annotation	116373706	10142286	66f2b539	false	true	true		PASS
129652410e184b87	soyod/Wan_Dou_28/mrna/Wan_Dou_28.mRNA.zip	Wan_Dou_28.mRNA.fasta	fasta	144804619	27763772	0cbeacdd	false	true	true		PASS
6d630bbb052e542f	soyod/Wan_Dou_28/ncrna/Wan_Dou_28.ncRNA.gff3.zip	Wan_Dou_28.ncRNA.gff3	annotation	873851	84844	a9ad90d9	false	true	true		PASS
57f2499e1f1a62d3	soyod/Wan_Dou_28/protein/Wan_Dou_28.protein.zip	Wan_Dou_28.protein.fasta	fasta	35354593	11882850	431dd9a6	false	true	true		PASS
ded9b0ecabc6d82d	soyod/Williams82.a1.v1/gff/Williams82.a1.v1.annotation3.zip	Williams82.a1.v1.annotation.gff3	annotation	160368233	17139259	447a057b	false	true	true		PASS
935ae78f60c47dbc	soyod/Williams82.a2.v1/gff/Williams82.a2.v1.annotation3.zip	Williams82.a2.v1.annotation.gff3	annotation	204482032	15241089	8163f9ff	false	true	true		PASS
37310c69000d854d	soyod/Williams82.a4.v1/cds/Williams82.a4.v1.CDS.zip	Williams82.a4.v1.CDS.fasta	fasta	118232093	18129566	d560580e	false	true	true		PASS
af118fd99a1a0e82	soyod/Williams82.a4.v1/genome/Williams82.a4.v1.genome.zip	Williams82.a4.v1.genome.fasta	fasta	990620630	251683036	03362561	false	true	true		PASS
34fa72c15726d4b9	soyod/Williams82.a4.v1/gff/Williams82.a4.v1.annotation3.zip	Williams82.a4.v1.annotation.gff3	annotation	182434801	16805001	8dee3fa3	false	true	true		PASS
42e6205ad29ddb16	soyod/Williams82.a4.v1/mrna/Williams82.a4.v1.mRNA.zip	Williams82.a4.v1.mRNA.fasta	fasta	177003931	28192073	c4742c55	false	true	true		PASS
59b2a96a5b3d90d4	soyod/Williams_82_T2T/cds/W82_T2T.cds.zip	W82_T2T.CDS.fasta	fasta	144576690	24279463	3c6101e9	false	true	true		PASS
6d9f4e033c44d941	soyod/Williams_82_T2T/genome/W82_T2T.genome.zip	W82_T2T.genome.fasta	fasta	1021913479	257058468	dcc870f9	false	true	true		PASS
f166da6066fb23f0	soyod/Williams_82_T2T/mrna/W82_T2T.mRNA.zip	W82_T2T.mRNA.fasta	fasta	205689329	37841962	1ee5227b	false	true	true		PASS
e4e5169bec3ee07d	soyod/Williams_82_T2T/ncrna/W82_T2T.zip	W82_T2T.feature	other	33031962	4058270	d9e19b94	false	true	true		PASS
4e64c168274b2a08	soyod/Williams_82_T2T/protein/W82_T2T.protein.zip	W82_T2T.Protein.faa	protein_fasta	67517583	16879014	81bb0c0e	false	true	true		PASS
2665e91ddfdeb9b8	soyod/Xu_Dou_1/cds/Xu_Dou_1.CDS.zip	Xu_Dou_1.CDS.fasta	fasta	91932675	18321654	62eae11a	false	true	true		PASS
