candidate_id	orientation_signature	orientation_group_id	orientation_group_size	orientation_representative
5045ff04509ebba0	c4cb5e9511e69c4e7f6336c229302c01e7a1ccbc8a9e50250c4cb2f572615b86	orientation-c4cb5e9511e69c4e	1	True
5074f46498a4b0ed	5bc3b8b35206561811d9ae4e7fbba4c46c0d8071f636df8e96826eb4c3f0885c	orientation-5bc3b8b352065618	1	True
509eba810398551d	edc3107ae36a4fce8238314b14289ed1767df6c6e94b6ffc61c1f9ddf7335c91	orientation-edc3107ae36a4fce	1	True
50c0b82860d15cb1	0ba48de828a405071e17588cec80e5fada7b14051f95a7a86a41a49a651bc239	orientation-0ba48de828a40507	1	True
539814fd4ada940f	12d318201d2525e2de7781525a593cf9989cd3a599b7d5194a72bcefe758a202	orientation-12d318201d2525e2	1	True
53f61ceb21948c40	be0a0fef18145c560991f22b94f3ce8bd046bb5f2d39c8c6385184dc77f049e9	orientation-be0a0fef18145c56	1	True
53ff69971c022fda	e27af02654d0431c0300d546a3b880160ca0aea7fa117de7f198ac35a6f51aa6	orientation-e27af02654d0431c	1	True
5446c2f67c6a5679	4084c44b457648757188b81110d46869a666505903ac5af280974106ef444380	orientation-4084c44b45764875	1	True
557227a4efbbf1a6	a712b3a0962b1ae04e211526de089dfc4e9b6ca1b3344c28635282ab7012fe12	orientation-a712b3a0962b1ae0	1	True
55b00f167cf5ad4b	8d48c71e614af2e7f8ede3e482e26f9e36362049467547c63ff47722d2372409	orientation-8d48c71e614af2e7	1	True
56309753cfc15648	7a2cd4a9f67513985ff9678311dc9c4ede405668e54b229e09810cbd21d56a5a	orientation-7a2cd4a9f6751398	1	True
56b71b5fe2e26359	0fd6b21ce8754105ab618d7d5144ba8bf22b0ce3f275526f4b9fb2f42a921f01	orientation-0fd6b21ce8754105	1	True
56bc7c342b765b44	8fd3a220610315cb95e20bddc705e6cc57a64999224799c0042734dfb8dcc6a7	orientation-8fd3a220610315cb	1	True
583ba5d1deb2b917	08ba500133c68bb9ce174422ed29c1397d76ebd421fd46626b8fdb36e9609b93	orientation-08ba500133c68bb9	1	True
5844dd514643bfc4	7b5df1cefdfc19610904f4c71b0d5a9ff771e25d10dddccc81de6a8e38fc96ad	orientation-7b5df1cefdfc1961	2	False
58455bfa5108783d	65700949c42b9b528f05114cf60929eb46137576ba0b59c80f73b7724a360ce9	orientation-65700949c42b9b52	1	True
58846353edbf3856	0bb995b306caa0f7ac5ab4d694776e99e3c99c8014b70bb112f4768ac3b4edfa	orientation-0bb995b306caa0f7	1	True
598b924bbd0ebb7a	dc5c553f24d7c1354a497dd0f63ca7a6a64fc71f752cd8e354f6741e1c002f6e	orientation-dc5c553f24d7c135	1	True
5997348d85494b8d	f3307d0c4af763af867948fa77877a79b3bf564831d9ce5095a4293405ed8f23	orientation-f3307d0c4af763af	1	True
59c41dffc41a6f25	293b712000f57f81615b44f8c96fadb664c1eb1ac917035159dc556ef372198a	orientation-293b712000f57f81	2	True
5b7b911fad7a8bec	27cc5f95d0291fa71a15bc01903db97a50bc6899b94560d664bc452d014c6266	orientation-27cc5f95d0291fa7	1	True
5c609cd3a3d987a7	42c695cfae92af8c90ae17360287ab9b46c53f325d750e9ca5f6f709f9411ab5	orientation-42c695cfae92af8c	1	True
5cef0984c5c08369	cdabd480c6a7110525fed0ef38852e8cd0dc3c3795e1eed48dcd6bb954ddc853	orientation-cdabd480c6a71105	1	True
5e08ff78ad87b7a6	d711ad034237dc49eb17ae30581ebe325323dff60accab72d7163da78fbb5dfb	orientation-d711ad034237dc49	1	True
5e1a6f42336f1a1f	ccaa2266bf706e3ec6d6fc4483d04c9ce355ef4894a6d45f9d3a20e8e8caa529	orientation-ccaa2266bf706e3e	1	True
5e5305f82c9763d9	d0a46d64157f146438cb188f3671bdaeb2be9f66aaf0558840bea15fd028994d	orientation-d0a46d64157f1464	1	True
5edfa45b3bdba07c	0496e12275945b6d22136c3c17aabbf9d37a101887e6f09499493a55218aaf25	orientation-0496e12275945b6d	1	True
5f25bd9cfe3467d5	ca12a41dd40cbd309e8994d2edee4d05df14511c6dc3b93f75dcff76bac42205	orientation-ca12a41dd40cbd30	1	True
5f7c4f84932c68e5	18fdcd728288b4268e890c3ec636f695e557f17d14b2bc3ccf9601f6c41dc8a9	orientation-18fdcd728288b426	1	True
5fa6a3a0175447d1	1ecd07f2037a4ea97b408103e1ba1de8be61a8fe66c3dadb4a68073136137708	orientation-1ecd07f2037a4ea9	1	True
600ebe0768f2875e	a4e27d71af6b5772709c2921afb85782ad5947265866d59bc5b67fc31493913e	orientation-a4e27d71af6b5772	1	True
602fdebe64673b64	7354208910fe751151a0358cb742826a9cfb27575b08d1d576532eba66ff2f4a	orientation-7354208910fe7511	1	True
60946b7f75fef429	3d26859dce23f4527277dc6edee9768793060f96e1c0af064c15f010ab917db1	orientation-3d26859dce23f452	1	True
