candidate_id	relative_path	source	genus	species	assembly_label	genome_role	size_bytes	mtime_ns
6376df8caff95330	legume_family/ncbi/Vigna_unguiculata/ASM411807v1/genome/GCF_004118075.1_ASM411807v1_genomic.fna.gz	legume_family_ncbi	Vigna	Vigna unguiculata	ASM411807v1	ncbi_genomic	156671831	1780839626000000000
a8412af2ff4cd5ed	legumeinfo/HanDouNo_5.gnm1.11MF/genome/glyma.HanDouNo_5.gnm1.11MF.genome_main.fna.gz	legumeinfo			HanDouNo_5.gnm1.11MF	main	259721221	1671033193000000000
b503a63d15d33fea	legumeinfo/JuXuanNo_23.gnm1.WC57/genome/glyma.JuXuanNo_23.gnm1.WC57.genome_main.fna.gz	legumeinfo			JuXuanNo_23.gnm1.WC57	main	257998357	1671033189000000000
838679e55c2d0890	legumeinfo/Lee.gnm3.VG1C/genome/glyma.Lee.gnm3.VG1C.genome_main.fna.gz	legumeinfo			Lee.gnm3.VG1C	main	290618980	1697634631000000000
351b9be376cc7087	legumeinfo/PI_398296.gnm1.D07C/genome/glyma.PI_398296.gnm1.D07C.genome_main.fna.gz	legumeinfo			PI_398296.gnm1.D07C	main	271359082	1671033212000000000
a1031c671efeadfc	legumeinfo/ShiShengChangYe.gnm1.MC01/genome/glyma.ShiShengChangYe.gnm1.MC01.genome_main.fna.gz	legumeinfo			ShiShengChangYe.gnm1.MC01	main	266648069	1671033196000000000
f5bbd1fd0c7f3dff	legumeinfo/W05.gnm1.SVL1/genome/glyso.W05.gnm1.SVL1.genome_main.fna.gz	legumeinfo			W05.gnm1.SVL1	main	295883655	1556820794000000000
3e10267861bb14ef	legumeinfo/YuDouNo_22.gnm1.T2VD/genome/glyma.YuDouNo_22.gnm1.T2VD.genome_main.fna.gz	legumeinfo			YuDouNo_22.gnm1.T2VD	main	258572296	1671033189000000000
6e568fc7addcdb8c	legumeinfo/Zh13.gnm2.LV9P/genome/glyma.Zh13.gnm2.LV9P.genome_main.fna.gz	legumeinfo			Zh13.gnm2.LV9P	main	293591133	1619191741000000000
85b481ae24b243fe	legumeinfo/ZiHuaNo_4.gnm1.HN60/genome/glyma.ZiHuaNo_4.gnm1.HN60.genome_main.fna.gz	legumeinfo			ZiHuaNo_4.gnm1.HN60	main	259365095	1671033191000000000
b374442bb6419f33	soyomics/Amsoy/genome/SoyC05.v1.fasta.gz	soyomics			Amsoy	generic_genome	269614224	1764128927000000000
ea8540c33ae9e337	soyomics/Ji_Dou_No.17/genome/SoyC11.v1.fasta.gz	soyomics			Ji_Dou_No.17	generic_genome	279392557	1764128938000000000
959d82ee1985320f	soyomics/Ke_Shan_No.1/genome/SoyC14.v1.fasta.gz	soyomics			Ke_Shan_No.1	generic_genome	271012266	1764128943000000000
cd1f3d99dc8ab1e9	soyomics/Zhonghuang_13/genome/ZH13.v2.fasta.gz	soyomics			Zhonghuang_13	generic_genome	273675967	1761899549000000000
6b882ca1292e53b8	soyomics/Zhutwinning2/genome/SoyL01.v1.fasta.gz	soyomics			Zhutwinning2	generic_genome	270149667	1764128944000000000
